name,platform,price,discount,normal,rating,total
"JoJo's Bizarre Adventure: Eyes of Heaven Bundle",PS4,$14.99,75,$59.99,4.66,1301
"Overwatch® Legendary Edition",PS4,$29.99,50,$59.99,4.19,962
"The Elder Scrolls® Online: 3000 Crowns",PS4,$17.49,30,$24.99,,
"The Elder Scrolls® Online: 5500 Crowns",PS4,$27.99,30,$39.99,,
"WRC 7 FIA World Rally Championship",PS4,$14.99,70,$49.99,4.11,64
"Castlevania: SotN (PSOne Classic)",PSP,$4.99,50,$9.99,4.88,10920
"Rocket League® - Jurassic World™ Car Pack",PS4,$0.99,50,$1.99,3.95,362
Zotrix,PS4,$1.99,80,$9.99,2.86,133
"Call of Duty®: Black Ops II Season Pass",PS3,$19.99,60,$49.99,4.56,26194
"Day of the Tentacle Remastered",PS4,$4.49,70,$14.99,4.08,2900
"EA SPORTS™ UFC® 3 Deluxe Edition",PS4,$19.99,75,$79.99,,
"GOD EATER: Resurrection",PS4,$4.99,75,$19.99,4.73,2715
"Lara Croft and the Temple of Osiris",PS4,$3.99,80,$19.99,4.2,16127
"Persona 5",PS3,$14.99,50,$29.99,4.91,1146
"Tom Clancy's Rainbow Six® Siege Advanced Edition",PS4,$17.99,70,$59.99,,
"DARIUSBURST Chronicle Saviours",PS4,$20.99,65,$59.99,4.69,488
"Goat Simulator",PS3,$2.49,75,$9.99,4.63,2831
"Little Nightmares Secrets of The Maw Expansion Pass",PS4,$4.99,50,$9.99,4.51,2133
Valley,PS4,$2.99,85,$19.99,4.37,304
"Batman: Return to Arkham",PS4,$7.99,60,$19.99,4.76,1949
"Call of Duty®: Black Ops 4 - Digital Deluxe Enhanced",PS4,$109.19,16,$129.99,4.84,461
"Call of Duty®: Black Ops III",PS3,$19.99,60,$49.99,3.9,6534
"Call of Duty®: Modern Warfare 2® with Stimulus Package",PS3,$7.99,60,$19.99,4.61,989
"Crash Bandicoot™ N. Sane Trilogy",PS4,$19.99,50,$39.99,4.73,11014
"Fallout 4",PS4,$14.99,50,$29.99,4.75,40192
"Mrs. Foster",PS4,$5.99,40,$9.99,4.41,34
"The Bridge",PS4,$1.89,81,$9.99,4.32,504
"Yu-Gi-Oh! GX: Leaders",PS4,$1.99,60,$4.99,4.61,61
"Batman™: Arkham Knight Premium Edition",PS4,$13.99,65,$39.99,4.88,1854
"Goat Simulator: GoatZ",PS4,$1.24,75,$4.99,4.21,1506
"NARUTO SHIPPUDEN™: Ultimate Ninja® STORM 4 ROAD TO BORUTO Pack",PS4,$9.99,50,$19.99,4.45,1035
"Saint Seiya Soldiers' Soul",PS4,$14.99,75,$59.99,4.73,1872
TerraTech,PS4,$17.49,30,$24.99,4.58,50
"The Crew® 2",PS4,$19.79,67,$59.99,4.03,311
"The Elder Scrolls V: Skyrim Special Edition",PS4,$23.99,40,$39.99,4.82,12201
"Danganronpa 1•2 Reload",PS4,$19.99,50,$39.99,4.85,195
"For Honor Marching Fire Expansion",PS4,$20.09,33,$29.99,4.22,324
"Gang Beasts",PS4,$15.99,20,$19.99,4.18,5854
"Grand Theft Auto Online Megalodon Shark Cash Card",PS4,$84.99,15,$99.99,,
"Grand Theft Auto V: Premium Online Edition",PS4,$14.99,75,$59.99,,
"METAL GEAR SOLID V: THE PHANTOM PAIN - Costume & Tack Pack ",PS4,$2.49,50,$4.99,4.74,1107
"Overcooked! 2",PS4,$17.49,30,$24.99,4.74,140
"Red Dead Redemption 2:  Special Edition",PS4,$69.59,13,$79.99,4.94,1435
"RUGBY 18",PS4,$11.99,80,$59.99,3.88,8
"Tales of Zestiria",PS4,$14.99,75,$59.99,4.64,2465
"BEYOND: Two Souls™",PS3,$3.99,60,$9.99,4.57,676
"Death's Gambit",PS4,$11.99,40,$19.99,3.9,300
DOOM,PS4,$14.99,25,$19.99,4.73,10609
"Hitman GO: Definitive Edition",PS4,$1.99,75,$7.99,4.43,981
"NARUTO SHIPPUDEN™: Ultimate Ninja® STORM 4 ROAD TO BORUTO",PS4,$24.99,50,$49.99,4.79,887
"Project CARS 2",PS4,$20.39,66,$59.99,3.82,617
"Uncharted 4: A Thief’s End ",PS4,$15.99,20,$19.99,4.88,23896
"Yu-Gi-Oh! ARC-V: Declan vs Celina",PS4,$1.99,60,$4.99,4.38,48
"Call of Duty®: Black Ops™ with First Strike",PS3,$19.99,50,$39.99,4.55,1275
"Call of Duty®: Ghosts Gold Edition",PS3,$17.99,60,$44.99,4.52,1139
"Call of Duty®: Modern Warfare 3 With DLC Collection 1",PS3,$14.99,50,$29.99,4.5,1033
"DARK SOULS™ III",PS4,$14.99,75,$59.99,4.8,16716
"DRAGON BALL FIGHTERZ - FighterZ Edition",PS4,$56.99,40,$94.99,4.79,476
"Little Dragons Café",PS4,$23.99,60,$59.99,4.43,7
"Outcast – Second Contact Digital Deluxe Edition",PS4,$13.49,70,$44.99,2.8,5
"Trine 2: Complete Story",PS4,$2.99,85,$19.99,4.35,18997
"Bloodborne™ The Old Hunters",PS4,$6.99,65,$19.99,4.85,12295
"Call of Duty: Black Ops II and Season Pass Bundle",PS3,$29.59,63,$79.99,4.62,428
"Card Game Bundle Vol.1",PS4,$4.79,80,$23.99,4.75,4
"Horzine Mark 7 Suit Bundle",PS4,$2.99,40,$4.99,4.72,177
"Metal Gear Online Expansion Pack 'Cloaked in Silence'",PS4,$1.99,50,$3.99,4.65,610
"Pure Pool",PS4,$3.99,60,$9.99,4.4,4804
"Shenmue I & II",PS4,$19.79,34,$29.99,4.8,242
"theHunter: Call of the Wild",PS4,$20.99,30,$29.99,4.54,1526
"The Sims™ 4",PS4,$9.99,75,$39.99,4.19,2260
"The Sims™ 4 Cats & Dogs",PS4,$19.99,50,$39.99,4.55,107
"Battlefield™ 1",PS4,$3.99,80,$19.99,4.55,13368
"Cladun Returns: This Is Sengoku!",PS4,$12.99,35,$19.99,4.13,16
"Cladun Returns: This Is Sengoku!","PS Vita",$12.99,35,$19.99,,
"Demon's Souls",PS3,$9.99,50,$19.99,4.7,7570
"Dying Light",PS4,$13.99,30,$19.99,4.67,22194
"GTAV: Premium Online Edition & Great White Shark Card",PS4,$19.71,71,$67.99,,
"Hello Neighbor",PS4,$8.99,70,$29.99,4.03,211
"Life is Strange: Before the Storm Deluxe Upgrade",PS4,$2.99,70,$9.99,4.61,2455
Machinarium,PS4,$2.49,75,$9.99,4.63,230
"PAC-MAN™ CHAMPIONSHIP EDITION 2",PS4,$4.54,65,$12.99,4.4,452
"Rocket League® - Masamune",PS4,$0.99,50,$1.99,4.28,2225
"The Witch and the Hundred Knight 2",PS4,$19.99,60,$49.99,4.64,11
"Toybox Turbos",PS3,$3.74,75,$14.99,4.42,88
"Yu-Gi-Oh! ARC-V: Jack Atlas vs Yuya",PS4,$1.99,60,$4.99,4.53,30
"Accel World VS Sword Art Online",PS4,$23.99,60,$59.99,4.58,213
"Batman™: Arkham VR",PS4,$11.99,40,$19.99,4.19,920
"Diablo III: Rise of the Necromancer",PS4,$8.99,40,$14.99,4.37,3945
"Grand Theft Auto V & Great White Shark Cash Card Bundle",PS4,$14.99,70,$49.99,,
"Hatsune Miku: Project DIVA X",PS4,$19.79,34,$29.99,4.75,401
"Ironclad Tactics",PS4,$2.99,80,$14.99,4.01,200
"Little Nightmares Complete Edition",PS4,$11.99,60,$29.99,4.86,69
