name,platform,price,discount,normal,rating,total
"Passengers: Awakening",PS4,$7.99,0,,2.61,54
Perfect,PS4,$9.99,0,,2.81,215
"Persona 3: Dancing in Moonlight",PS4,$59.99,0,,4.93,14
"Persona 5: Dancing in Starlight",PS4,$59.99,0,,4.8,20
"Picture Party VR",PS4,$9.99,0,,,
"Pierhead Arcade",PS4,$5.99,60,$14.99,4.05,21
"Pinball FX2 VR",PS4,$14.99,0,,4.57,226
"Pinball FX2 VR: The Walking Dead",PS4,$5.99,0,,4.25,57
"Pirate Flight (VR)",PS4,$14.99,0,,3.67,3
"Pixel Gear",PS4,$10.99,0,,3.97,223
"PixelJunk VR™ Dead Hungry",PS4,$7.99,0,,4.43,23
"Pixel Ripped 1989",PS4,$12.49,50,$24.99,4.68,34
"PlayStation VR Demo Disc",PS4,Free,0,,4.4,1043
"PlayStation VR Demo Disc 2",PS4,Free,0,,4.28,663
"PlayStation VR Worlds",PS4,$4.49,70,$14.99,4.31,301
Polybius,PS4,$15.49,0,,4.66,82
"Pop-Up Pilgrims",PS4,$14.99,0,,5,2
"Preta: Vendetta Rising",PS4,$19.99,0,,4.09,43
"Prey: Typhon Hunter",PS4,Free,0,,5,4
"Prison Boss VR",PS4,$19.99,0,,4.8,5
"Prison Boss VR Demo",PS4,Free,0,,3.95,22
"Proton Pulse Plus",PS4,$9.99,0,,4.21,39
"Psychonauts In The Rhombus Of Ruin",PS4,$14.99,25,$19.99,4.49,305
"Quiz Night Tonight!",PS4,$14.99,0,,2.66,29
"RACE THE SUN ®",PS4,$9.99,0,,4.16,5455
"Racket Fury: Table Tennis",PS4,$19.99,0,,4.78,9
"Radial-G : Racing Revolved",PS4,$5.99,60,$14.99,3.71,21
"Ranch Planet",PS4,$3.49,50,$6.99,,
Rangi,PS4,$9.99,0,,5,1
"Raw Data",PS4,$15.99,60,$39.99,4.45,158
"Rec Room",PS4,Free,0,,3.82,2560
"Red Matter",PS4,$24.99,0,,5,1
"RESIDENT EVIL 7 biohazard",PS4,$29.99,0,,4.73,5143
"Rez Infinite",PS4,$29.99,0,,4.81,588
"Richie's Plank Experience",PS4,$14.99,0,,2.5,4
"Rick and Morty: Virtual Rick-ality",PS4,$14.99,50,$29.99,4.14,106
"RIGS Mechanized Combat League",PS4,$19.99,0,,4.31,617
"Rise of the Tomb Raider: 20 Year Celebration",PS4,$11.99,80,$59.99,4.68,2614
"Robinson: The Journey",PS4,$49.99,0,,3.66,314
"Rollercoaster Dreams",PS4,$19.99,0,,2.06,971
"Rollercoaster Dreams Demo",PS4,Free,0,,3.55,1217
"RollerCoaster Legends",PS4,$4.99,0,,3.32,135
"RollerCoaster Legends II: Thor's Hammer",PS4,$5.99,0,,3.94,16
"Rollercoaster Tycoon Joyride",PS4,$19.99,0,,2.5,2
"Rooms: The Unsolvable Puzzle",PS4,$13.99,0,,,
"Run Dorothy Run",PS4,$19.99,0,,5,5
"RUSH VR",PS4,$24.99,0,,4.4,10
"Salary Man Escape",PS4,$15.99,0,,3,1
SculptrVR,PS4,$11.99,40,$19.99,4.67,15
"Sea of memories",PS4,$5.99,40,$9.99,1,1
"Shooty Fruity",PS4,$19.99,0,,4.39,84
"Smashbox Arena",PS4,$2.49,75,$9.99,4.61,36
"Smash Hit Plunder™",PS4,$29.99,0,,,
"Snatch VR Heist Experience",PS4,Free,0,,3.86,223
"Sneaky Bears",PS4,$7.99,0,,3.86,22
"Snow Fortress",PS4,$14.99,0,,2.45,11
"Soul Dimension",PS4,$4.99,0,,3.35,110
"Space Pirate Trainer",PS4,$11.99,20,$14.99,4.62,13
"SPACE RIFT - Episode 1",PS4,$5.99,70,$19.99,3.15,60
Sparc,PS4,$19.99,0,,4.66,271
"Special Delivery",PS4,$9.99,0,,3.01,71
"Spider-Man: Homecoming - Virtual Reality Experience",PS4,Free,0,,3.82,6134
"Sports Bar VR",PS4,$5.99,70,$19.99,3.59,394
"Sprint Vector",PS4,$11.99,60,$29.99,4.49,97
Squishies,PS4,$24.99,0,,4,1
"Squishies Demo",PS4,Free,0,,4.88,8
"Starbear: Taxi",PS4,$4.99,0,,4.5,4
"StarBlood Arena",PS4,$14.99,0,,4,1229
StarDrone,PS4,$7.99,0,,4.57,7
"Starship Disco",PS4,$9.99,0,,4.02,52
"Star Trek™: Bridge Crew",PS4,$39.99,0,,4.59,481
Statik,PS4,$7.99,60,$19.99,4.29,622
"Statik Demo",PS4,Free,0,,4.1,755
Stifled,PS4,$19.99,0,,3.89,19
"Stunt Kite Masters VR",PS4,$9.99,0,,2.82,11
"SUPER AMAZEBALLS",PS4,$4.99,0,,3.86,7
"SUPERHOT MIND IS SOFTWARE BUNDLE",PS4,$39.99,0,,4.88,17
"SUPERHOT VR",PS4,$24.99,0,,4.65,1211
SUPERHYPERCUBE,PS4,$14.99,0,,4.18,138
"SUPERHYPERCUBE Demo",PS4,Free,0,,4.39,214
"Super Stardust Ultra VR",PS4,$19.99,0,,4.52,33
"Surgeon Simulator: Experience Reality",PS4,$5.99,70,$19.99,3.28,334
"Symphony of the Machine",PS4,$13.99,0,,2.23,13
SYREN,PS4,$19.99,0,,2,4
"TEKKEN 7",PS4,$24.99,50,$49.99,4.62,2821
Tethered,PS4,$24.99,0,,4.44,262
"Tethered Demo",PS4,Free,0,,4.29,318
"Tetris® Effect",PS4,$39.99,0,,4.87,212
"The American Dream",PS4,$9.99,50,$19.99,3.64,25
"The Assembly",PS4,$29.99,0,,3.55,89
"The Bellows",PS4,$4.99,0,,3.13,97
"The Brookhaven Experiment",PS4,$19.99,0,,4.1,346
"The DOOR",PS4,$34.99,0,,4,4
"The Elder Scrolls V: Skyrim® VR",PS4,$29.99,50,$59.99,4.61,951
"The Exorcist: Legion VR",PS4,$6.99,0,,3.84,56
"The Grand Museum VR",PS4,$9.99,0,,2.75,8
"THE IDOLM＠STER CINDERELLA GIRLS VIEWING REVOLUTION",PS4,$19.99,0,,4.22,18
"The Illusionist-Andres Iniesta",PS4,Free,0,,3.2,493
"The Inpatient",PS4,$11.99,40,$19.99,3.5,247
"The Invisible Hours",PS4,$29.99,0,,4.31,105
"The Last Guardian VR Demo",PS4,Free,0,,4.06,1561
"The Lost Bear",PS4,$12.99,0,,4.29,48
"The Martian VR Experience",PS4,$4.99,0,,2.12,210
"The Perfect Sniper (VR)",PS4,$14.99,0,,3.35,23
"The Persistence",PS4,$29.99,0,,4.92,49
"The Playroom VR",PS4,Free,0,,4.43,2600
"The Playroom VR TOY WARS",PS4,Free,0,,4.1,2193
"The Rabbit Hole",PS4,$4.99,0,,2.75,16
